Screen,Element Name,Key,Proposed Text,Translation / Note
Lesson + Video,Play Button,lesson_play,Play,English action
Lesson + Video,Buffering Text,lesson_buffering,লোড হচ্ছে...,Loading...
Lesson + Video,Video Error,lesson_video_error,ভিডিও চালানো যাচ্ছে না। Internet সংযোগ দেখুন।,Can't play video. Check internet connection.
Lesson + Video,Duration Label,lesson_duration,সময়কাল: {duration},Duration
Lesson + Video,Notes Section,lesson_notes,পাঠের নোট,Lesson notes
Lesson + Video,Next Lesson Button,lesson_next,পরবর্তী Lesson →,Next Lesson
Lesson + Video,Previous Lesson,lesson_prev,← আগের Lesson,Previous Lesson
Lesson + Video,Mark Complete,lesson_mark_complete,সম্পন্ন হিসেবে চিহ্নিত করুন,Mark as complete
Lesson + Video,Completed Badge,lesson_completed,✅ সম্পন্ন হয়েছে,Completed
Lesson + Video,Download Option,lesson_download,Download করে রাখুন,Download and keep
Course Detail,Screen Title,course_detail_title,Course বিবরণ,Course details
Course Detail,About Section,course_detail_about,এই Course সম্পর্কে,About this Course
Course Detail,Instructor Label,course_detail_instructor,শিক্ষক,Instructor
Course Detail,Level Label,course_detail_level,ধাপ,Level
Course Detail,Beginner,course_detail_beginner,শুরুর ধাপ,Beginning level
Course Detail,Intermediate,course_detail_intermediate,মাঝামাঝি ধাপ,Intermediate level
Course Detail,Advanced,course_detail_advanced,উন্নত ধাপ,Advanced level
Course Detail,Total Lessons,course_detail_total_lessons,মোট Lesson: {n}টি,Total Lessons: {n}
Course Detail,Progress Label,course_detail_progress,আপনার অগ্রগতি,Your progress
Course Detail,Progress Bar Text,course_detail_progress_pct,{n}% সম্পন্ন,{n}% complete
Course Detail,Start Course Button,course_detail_start,Course শুরু করুন,Start Course
Course Detail,Continue Button,course_detail_continue,শেখা চালিয়ে যান,Continue learning
Course Detail,Lesson List Title,course_detail_lessons,সব Lesson,All Lessons
Course Detail,Locked Lesson,course_detail_locked,🔒 আগের Lesson শেষ করুন,Complete the previous Lesson
Quiz,Screen Title,quiz_title,Quiz,English
Quiz,Instruction,quiz_instruction,সঠিক উত্তরটি বাছাই করুন,Choose the correct answer
Quiz,Question Counter,quiz_counter,প্রশ্ন {current} / {total},Question {current} / {total}
Quiz,Submit Button,quiz_submit,Submit,English action
Quiz,Next Button,quiz_next,পরের প্রশ্ন →,Next question
Quiz,Correct Feedback,quiz_correct,✅ একদম সঠিক!,Exactly correct!
Quiz,Wrong Feedback,quiz_wrong,❌ ভুল হয়ে গেছে। সঠিক উত্তর: {answer},Got it wrong. Correct answer: {answer}
Quiz,Hint Button,quiz_hint,💡 একটু Hint দিন,Give a Hint
Quiz,Skip Button,quiz_skip,এড়িয়ে যান,Skip
Quiz,Timer Label,quiz_timer,সময় বাকি: {time},Time remaining
Quiz,Result Title,quiz_result_title,🎉 Quiz শেষ!,Quiz done!
Quiz,Score,quiz_score,আপনার Score: {n} / {total},Your Score
Quiz,Pass Message,quiz_pass,দারুণ! আপনি পাশ করেছেন! 🔥,Great! You passed!
Quiz,Fail Message,quiz_fail,"আরেকটু চেষ্টা করলেই হবে। আবার দিন!","A little more effort. Try again!"
Quiz,Retry Button,quiz_retry,আবার Quiz দিন,Take Quiz again
Quiz,Back to Lesson,quiz_back_to_lesson,Lesson-এ ফিরে যান,Go back to Lesson
Splash,App Name,splash_app_name,EZ TRAINZ,Brand name — always English
Splash,Tagline,splash_tagline,ভাষা শেখা এখন সহজ,Learning languages is now easy
Splash,Loading Text,splash_loading,প্রস্তুত হচ্ছে...,Getting ready...
Settings,Screen Title,settings_title,Settings,English
Settings,Notification Toggle,settings_notification,Notification চালু করুন,Turn on Notifications
Settings,Notification Desc,settings_notification_desc,প্রতিদিন মনে করিয়ে দেবে পড়ার কথা,Will remind you to study every day
Settings,Language Pref,settings_language,অ্যাপের ভাষা,App language
Settings,Dark Mode Toggle,settings_dark_mode,Dark Mode,English tech term
Settings,About,settings_about,আমাদের সম্পর্কে,About us
Settings,Version,settings_version,Version {version},English
Settings,Clear Data,settings_clear_data,সব Data মুছে ফেলুন,Delete all Data
Settings,Clear Confirm,settings_clear_confirm,এটি করলে আপনার সব অগ্রগতি মুছে যাবে। আপনি কি নিশ্চিত?,This will delete all your progress. Are you sure?
Settings,Confirm Yes,settings_confirm_yes,"হ্যাঁ, মুছে ফেলুন","Yes, delete"
Settings,Cancel,settings_cancel,বাদ দিন,Cancel
Error States,No Internet,error_no_internet,Internet সংযোগ নেই। আবার চেষ্টা করুন।,No internet connection. Try again.
Error States,Retry Button,error_retry,আবার চেষ্টা করুন,Try again
Error States,Server Error,error_server,কিছু একটা সমস্যা হয়েছে। একটু পরে আবার আসুন।,Something went wrong. Come back in a bit.
Error States,Empty Course List,error_empty_courses,এখনো কোনো Course পাওয়া যায়নি,No Courses found yet
Error States,No Reviews Due,error_no_reviews,🎉 আজ কোনো Review নেই! বিশ্রাম নিন।,No Reviews today! Take a rest.
Error States,404 Screen,error_404,হায়! এই pageটি খুঁজে পাওয়া যাচ্ছে না 😕,Oops! This page can't be found
Profile,Screen Title,profile_title,Profile,English
Profile,Name Label,profile_name,নাম,Name
Profile,Email Label,profile_email,Email,English
Profile,Phone Label,profile_phone,মোবাইল নম্বর,Mobile number
Profile,Edit Button,profile_edit,Edit Profile,English action
Profile,Language Pref,profile_language_pref,পছন্দের ভাষা,Preferred language
Profile,Logout Button,profile_logout,Logout,English action
Profile,Logout Confirm,profile_logout_confirm,আপনি কি Logout করতে চান?,Do you want to logout?
Profile,Confirm Yes,profile_logout_yes,"হ্যাঁ, Logout করুন","Yes, Logout"
Profile,Cancel,profile_cancel,বাদ দিন,Cancel
